location,capacity,occupancy,timestamp
BHMBCCMKT01,577,61,04-10-2016 07:59
BHMBCCMKT01,577,64,04-10-2016 08:25
BHMBCCMKT01,577,80,04-10-2016 08:59
BHMBCCMKT01,577,107,04-10-2016 09:32
BHMBCCMKT01,577,150,04-10-2016 09:59
BHMBCCMKT01,577,177,04-10-2016 10:26
BHMBCCMKT01,577,219,04-10-2016 10:59
BHMBCCMKT01,577,247,04-10-2016 11:25
BHMBCCMKT01,577,259,04-10-2016 11:59
BHMBCCMKT01,577,266,04-10-2016 12:29
BHMBCCMKT01,577,269,04-10-2016 13:02
BHMBCCMKT01,577,263,04-10-2016 13:29
BHMBCCMKT01,577,238,04-10-2016 14:02
BHMBCCMKT01,577,215,04-10-2016 14:29
BHMBCCMKT01,577,192,04-10-2016 14:57
BHMBCCMKT01,577,165,04-10-2016 15:30
BHMBCCMKT01,577,162,04-10-2016 16:04
BHMBCCMKT01,577,143,04-10-2016 16:31
BHMBCCMKT01,577,54,05-10-2016 07:57
BHMBCCMKT01,577,59,05-10-2016 08:30
BHMBCCMKT01,577,71,05-10-2016 09:04
BHMBCCMKT01,577,83,05-10-2016 09:30
BHMBCCMKT01,577,114,05-10-2016 10:04
BHMBCCMKT01,577,128,05-10-2016 10:30
BHMBCCMKT01,577,148,05-10-2016 11:04
BHMBCCMKT01,577,162,05-10-2016 11:30
BHMBCCMKT01,577,178,05-10-2016 12:04
BHMBCCMKT01,577,183,05-10-2016 12:30
BHMBCCMKT01,577,175,05-10-2016 12:57
BHMBCCMKT01,577,179,05-10-2016 13:30
BHMBCCMKT01,577,174,05-10-2016 13:57
BHMBCCMKT01,577,158,05-10-2016 14:30
BHMBCCMKT01,577,145,05-10-2016 14:57
BHMBCCMKT01,577,129,05-10-2016 15:30
BHMBCCMKT01,577,121,05-10-2016 16:04
BHMBCCMKT01,577,114,05-10-2016 16:30
BHMBCCMKT01,577,58,06-10-2016 07:57
BHMBCCMKT01,577,63,06-10-2016 08:30
BHMBCCMKT01,577,70,06-10-2016 08:57
BHMBCCMKT01,577,95,06-10-2016 09:30
BHMBCCMKT01,577,135,06-10-2016 10:03
BHMBCCMKT01,577,160,06-10-2016 10:30
BHMBCCMKT01,577,177,06-10-2016 10:57
BHMBCCMKT01,577,191,06-10-2016 11:30
BHMBCCMKT01,577,199,06-10-2016 12:04
BHMBCCMKT01,577,206,06-10-2016 12:30
BHMBCCMKT01,577,198,06-10-2016 12:57
BHMBCCMKT01,577,208,06-10-2016 13:30
BHMBCCMKT01,577,200,06-10-2016 13:57
BHMBCCMKT01,577,175,06-10-2016 14:30
BHMBCCMKT01,577,158,06-10-2016 15:04
BHMBCCMKT01,577,153,06-10-2016 15:31
BHMBCCMKT01,577,135,06-10-2016 16:04
BHMBCCMKT01,577,129,06-10-2016 16:30
BHMBCCMKT01,577,58,07-10-2016 08:03
BHMBCCMKT01,577,61,07-10-2016 08:30
BHMBCCMKT01,577,75,07-10-2016 09:04
BHMBCCMKT01,577,103,07-10-2016 09:30
BHMBCCMKT01,577,128,07-10-2016 09:57
BHMBCCMKT01,577,172,07-10-2016 10:30
BHMBCCMKT01,577,188,07-10-2016 10:57
BHMBCCMKT01,577,199,07-10-2016 11:30
BHMBCCMKT01,577,210,07-10-2016 12:03
BHMBCCMKT01,577,206,07-10-2016 12:30
BHMBCCMKT01,577,200,07-10-2016 13:04
BHMBCCMKT01,577,201,07-10-2016 13:30
BHMBCCMKT01,577,193,07-10-2016 14:03
BHMBCCMKT01,577,181,07-10-2016 14:30
BHMBCCMKT01,577,172,07-10-2016 15:04
BHMBCCMKT01,577,159,07-10-2016 15:30
BHMBCCMKT01,577,158,07-10-2016 15:57
BHMBCCMKT01,577,132,07-10-2016 16:30
BHMBCCMKT01,577,58,08-10-2016 07:57
BHMBCCMKT01,577,61,08-10-2016 08:30
BHMBCCMKT01,577,75,08-10-2016 08:57
BHMBCCMKT01,577,104,08-10-2016 09:30
BHMBCCMKT01,577,158,08-10-2016 10:04
BHMBCCMKT01,577,191,08-10-2016 10:30
BHMBCCMKT01,577,223,08-10-2016 10:57
BHMBCCMKT01,577,254,08-10-2016 11:30
BHMBCCMKT01,577,306,08-10-2016 12:04
BHMBCCMKT01,577,320,08-10-2016 12:30
BHMBCCMKT01,577,348,08-10-2016 13:04
BHMBCCMKT01,577,357,08-10-2016 13:30
BHMBCCMKT01,577,395,08-10-2016 14:03
BHMBCCMKT01,577,400,08-10-2016 14:30
BHMBCCMKT01,577,395,08-10-2016 14:57
BHMBCCMKT01,577,406,08-10-2016 15:30
BHMBCCMKT01,577,381,08-10-2016 16:04
BHMBCCMKT01,577,365,08-10-2016 16:30
BHMBCCMKT01,577,42,09-10-2016 08:04
BHMBCCMKT01,577,42,09-10-2016 08:30
BHMBCCMKT01,577,43,09-10-2016 09:04
BHMBCCMKT01,577,43,09-10-2016 09:30
BHMBCCMKT01,577,50,09-10-2016 09:57
BHMBCCMKT01,577,64,09-10-2016 10:30
BHMBCCMKT01,577,100,09-10-2016 11:04
BHMBCCMKT01,577,126,09-10-2016 11:30
BHMBCCMKT01,577,148,09-10-2016 11:57
BHMBCCMKT01,577,170,09-10-2016 12:30
BHMBCCMKT01,577,189,09-10-2016 13:04
BHMBCCMKT01,577,205,09-10-2016 13:30
BHMBCCMKT01,577,208,09-10-2016 14:03
